Designator,Mid X,Mid Y,Rotation,Layer
_129,348.8,-80.4,90.0,top
_128,60.2132,-118.28424,0.0,top
_127,273.387119,-31.740719,0.0,top
_126,266.581703,-135.125919,180.0,top
_125,41.2,-79.4,90.0,top
_124,267.581703,-135.125919,180.0,top
_123,46.8328,-37.5117,0.0,top
_122,335.147919,-37.726319,180.0,top
_121,123.5936,-31.52824,180.0,top
_120,348.8,-75.4,90.0,top
_119,125.4018,-134.91344,0.0,top
_118,263.387119,-31.740719,0.0,top
_117,41.2,-83.4,90.0,top
_116,264.387119,-31.740719,0.0,top
_115,348.8,-78.4,90.0,top
_114,348.8,-85.4,90.0,top
_113,343.147919,-37.726319,180.0,top
_112,264.581703,-135.125919,180.0,top
_111,274.387119,-31.740719,0.0,top
_110,265.581703,-135.125919,180.0,top
_109,56.2132,-118.28424,0.0,top
_108,341.147919,-37.726319,180.0,top
_107,270.387119,-31.740719,0.0,top
_106,55.8328,-37.5117,0.0,top
_105,348.8,-82.4,90.0,top
_104,62.2132,-118.28424,0.0,top
_103,348.8,-84.4,90.0,top
_102,268.387119,-31.740719,0.0,top
_101,326.767519,-118.496719,180.0,top
_100,333.767519,-118.496719,180.0,top
_99,56.8328,-37.5117,0.0,top
_98,64.2132,-118.28424,0.0,top
_97,41.2,-84.4,90.0,top
_96,52.8328,-37.5117,0.0,top
_95,126.5936,-31.52824,180.0,top
_94,55.2132,-118.28424,0.0,top
_93,348.8,-81.4,90.0,top
_92,125.5936,-31.52824,180.0,top
_91,265.387119,-31.740719,0.0,top
_90,333.147919,-37.726319,180.0,top
_89,340.147919,-37.726319,180.0,top
_88,59.2132,-118.28424,0.0,top
_87,260.581703,-135.125919,180.0,top
_86,41.2,-80.4,90.0,top
_85,118.4018,-134.91344,0.0,top
_84,266.387119,-31.740719,0.0,top
_83,120.5936,-31.52824,180.0,top
_82,47.8328,-37.5117,0.0,top
_81,344.147919,-37.726319,180.0,top
_80,263.581703,-135.125919,180.0,top
_79,117.5936,-31.52824,180.0,top
_78,348.8,-76.4,90.0,top
_77,63.2132,-118.28424,0.0,top
_76,51.8328,-37.5117,0.0,top
_75,269.581703,-135.125919,180.0,top
_74,123.4018,-134.91344,0.0,top
_73,122.5936,-31.52824,180.0,top
_72,53.2132,-118.28424,0.0,top
_71,41.2,-73.4,90.0,top
_70,127.5936,-31.52824,180.0,top
_69,119.5936,-31.52824,180.0,top
_68,348.8,-83.4,90.0,top
_67,119.4018,-134.91344,0.0,top
_66,332.767519,-118.496719,180.0,top
_65,348.8,-77.4,90.0,top
_64,331.767519,-118.496719,180.0,top
_63,50.8328,-37.5117,0.0,top
_62,41.2,-81.4,90.0,top
_61,272.581703,-135.125919,180.0,top
_60,41.2,-85.4,90.0,top
_59,124.5936,-31.52824,180.0,top
_58,272.387119,-31.740719,0.0,top
_57,115.5936,-31.52824,180.0,top
_56,124.4018,-134.91344,0.0,top
_55,336.147919,-37.726319,180.0,top
_54,270.581703,-135.125919,180.0,top
_53,61.2132,-118.28424,0.0,top
_52,269.387119,-31.740719,0.0,top
_51,271.581703,-135.125919,180.0,top
