Designator,Footprint,Quantity,Value,LCSC Part #
"_143, _142, _141, _140, _139, _138, _137, _136, _135, _134, _133, _132, _131, _130, _129, _128, _127, _126, _125, _124, _123, _122, _121, _120, _119, _118, _117, _116, _115, _114, _113, _112, _111, _110, _109, _108, _107, _106, _105, _104, _103, _102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,143,,
BJ1,Connector_1x02_JST-PH,1,BATT_CON_1,C295747
BJ2,Connector_1x02_JST-PH,1,BATT_CON,C295747
"BTN1, BTN3",Switch_MSK12C02,2,PWR_SW,
"BTN4, RST",Right-Angle_PushButton,2,RST_SW,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D6, D7, D8, D9",Diode_DO-35,58,Diode,
"J1, J3",nice_view_LS011B7DH03,2,OLED,
"RE1, RE2",Encoder_EC11_MX_Combo,2,ROTARY_ENC,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S6, S7, S8, S9",Hotswap_MX_1.00u,54,Keyswitch,
"S28, S29",Hotswap_MX_1.50u,2,Keyswitch,
"U1, U2",SuperMini NRF52840 - Edge_Mount,2,nice_nano,
