Designator,Mid X,Mid Y,Rotation,Layer
_143,203.486511,-53.75,270.0,top
_142,348.8,-80.4,90.0,top
_141,60.2132,-118.28424,0.0,top
_140,273.387119,-31.740719,0.0,top
_139,266.581703,-135.125919,180.0,top
_138,41.2,-79.4,90.0,top
_137,267.581703,-135.125919,180.0,top
_136,46.8328,-37.5117,0.0,top
_135,335.147919,-37.726319,180.0,top
_134,123.5936,-31.52824,180.0,top
_133,348.8,-75.4,90.0,top
_132,125.4018,-134.91344,0.0,top
_131,263.387119,-31.740719,0.0,top
_130,41.2,-83.4,90.0,top
_129,264.387119,-31.740719,0.0,top
_128,348.8,-78.4,90.0,top
_127,348.8,-85.4,90.0,top
_126,343.147919,-37.726319,180.0,top
_125,264.581703,-135.125919,180.0,top
_124,274.387119,-31.740719,0.0,top
_123,265.581703,-135.125919,180.0,top
_122,56.2132,-118.28424,0.0,top
_121,341.147919,-37.726319,180.0,top
_120,186.5,-49.75,90.0,top
_119,270.387119,-31.740719,0.0,top
_118,55.8328,-37.5117,0.0,top
_117,348.8,-82.4,90.0,top
_116,62.2132,-118.28424,0.0,top
_115,348.8,-84.4,90.0,top
_114,268.387119,-31.740719,0.0,top
_113,186.5,-50.75,90.0,top
_112,326.767519,-118.496719,180.0,top
_111,333.767519,-118.496719,180.0,top
_110,56.8328,-37.5117,0.0,top
_109,64.2132,-118.28424,0.0,top
_108,41.2,-84.4,90.0,top
_107,52.8328,-37.5117,0.0,top
_106,126.5936,-31.52824,180.0,top
_105,55.2132,-118.28424,0.0,top
_104,348.8,-81.4,90.0,top
_103,125.5936,-31.52824,180.0,top
_102,265.387119,-31.740719,0.0,top
_101,333.147919,-37.726319,180.0,top
_100,340.147919,-37.726319,180.0,top
_99,59.2132,-118.28424,0.0,top
_98,260.581703,-135.125919,180.0,top
_97,41.2,-80.4,90.0,top
_96,118.4018,-134.91344,0.0,top
_95,266.387119,-31.740719,0.0,top
_94,203.486511,-54.75,0.0,top
_93,120.5936,-31.52824,180.0,top
_92,47.8328,-37.5117,0.0,top
_91,344.147919,-37.726319,180.0,top
_90,263.581703,-135.125919,180.0,top
_89,117.5936,-31.52824,180.0,top
_88,348.8,-76.4,90.0,top
_87,63.2132,-118.28424,0.0,top
_86,51.8328,-37.5117,0.0,top
_85,269.581703,-135.125919,180.0,top
_84,123.4018,-134.91344,0.0,top
_83,122.5936,-31.52824,180.0,top
_82,53.2132,-118.28424,0.0,top
_81,41.2,-73.4,90.0,top
_80,186.5,-52.75,90.0,top
_79,127.5936,-31.52824,180.0,top
_78,119.5936,-31.52824,180.0,top
_77,348.8,-83.4,90.0,top
_76,203.486511,-52.75,90.0,top
_75,119.4018,-134.91344,0.0,top
_74,332.767519,-118.496719,180.0,top
_73,348.8,-77.4,90.0,top
_72,331.767519,-118.496719,180.0,top
_71,50.8328,-37.5117,0.0,top
_70,41.2,-81.4,90.0,top
_69,272.581703,-135.125919,180.0,top
_68,186.5,-54.75,270.0,top
_67,41.2,-85.4,90.0,top
_66,124.5936,-31.52824,180.0,top
_65,272.387119,-31.740719,0.0,top
_64,203.486511,-48.75,270.0,top
_63,115.5936,-31.52824,180.0,top
_62,124.4018,-134.91344,0.0,top
_61,336.147919,-37.726319,180.0,top
_60,270.581703,-135.125919,180.0,top
_59,61.2132,-118.28424,0.0,top
_58,269.387119,-31.740719,0.0,top
_57,271.581703,-135.125919,180.0,top
_56,332.147919,-37.726319,180.0,top
_55,126.4018,-134.91344,0.0,top
_54,325.767519,-118.496719,180.0,top
_53,54.2132,-118.28424,0.0,top
_52,203.486511,-50.75,90.0,top
_51,186.5,-53.75,270.0,top
_50,262.387119,-31.740719,0.0,top
_49,348.8,-79.4,90.0,top
_48,337.147919,-37.726319,180.0,top
_47,328.767519,-118.496719,180.0,top
_46,327.767519,-118.496719,180.0,top
_45,338.147919,-37.726319,180.0,top
_44,127.4018,-134.91344,0.0,top
_43,128.4018,-134.91344,0.0,top
_42,49.8328,-37.5117,0.0,top
_41,339.147919,-37.726319,180.0,top
_40,41.2,-82.4,90.0,top
_39,52.2132,-118.28424,0.0,top
_38,41.2,-76.4,90.0,top
_37,334.767519,-118.496719,180.0,top
_36,348.8,-73.4,90.0,top
